iteration,x_lower,x_upper,root,ea
1,2.0,4.0,3.0,100.0
2,2.0,3.0,2.5,0.2
3,2.0,2.5,2.25,0.1111111111111111
4,2.25,2.5,2.375,0.05263157894736842
5,2.375,2.5,2.4375,0.02564102564102564
6,2.375,2.4375,2.40625,0.012987012987012988
7,2.40625,2.4375,2.421875,0.0064516129032258064
8,2.40625,2.421875,2.4140625,0.003236245954692557
9,2.4140625,2.421875,2.41796875,0.0016155088852988692
10,2.4140625,2.41796875,2.416015625,0.0008084074373484236
11,2.4140625,2.416015625,2.4150390625,0.0004043671653861706
12,2.4140625,2.4150390625,2.41455078125,0.00020222446916076846
13,2.4140625,2.41455078125,2.414306640625,0.00010112245929821013
14,2.4140625,2.414306640625,2.4141845703125,5.056378621631188e-05
15,2.4141845703125,2.414306640625,2.41424560546875,2.528125395019593e-05
16,2.4141845703125,2.41424560546875,2.414215087890625,1.2640786762568102e-05
17,2.4141845703125,2.414215087890625,2.4141998291015625,6.32043332890903e-06
